アクター,画面ID,画面名,URL,SPA種別,認証要否,機能ID範囲,E2Eテスト状況,備考
店舗管理者,SCR-S09,営業時間設定,/shop_admin?page=business_hour,SPAサブページ,要（店舗ログイン）,S-94〜S-98,PASS,曜日別営業時間設定
店舗管理者,SCR-S10,営業カレンダー,/shop_admin?page=business_calendar,SPAサブページ,要（店舗ログイン）,S-99〜S-104,PASS,月別カレンダー・日付別営業/休業設定
店舗管理者,SCR-S11,店舗情報,/shop_admin?page=info,SPAサブページ,要（店舗ログイン）,S-105〜S-120,PASS,店舗基本情報・振込先口座Popup
店舗管理者,SCR-S12,お問い合わせ一覧,/shop_admin?page=contact,SPAサブページ,要（店舗ログイン）,S-121〜S-123,PASS,問い合わせリスト・詳細Popup
店舗管理者,SCR-S13,お知らせ一覧,/shop_admin?page=news,SPAサブページ,要（店舗ログイン）,S-124〜S-125,PASS,お知らせリスト・詳細Popup
店舗管理者,SCR-S14,メールアドレスの変更,/shop_admin?page=mail,SPAサブページ,要（店舗ログイン）,S-126〜S-129,PASS,メールアドレス変更フォーム
店舗管理者,SCR-S15,パスワードの変更,/shop_admin?page=pass,SPAサブページ,要（店舗ログイン）,S-130〜S-133,PASS,パスワード変更フォーム
店舗管理者,SCR-S16,ログアウト,/shop_admin?page=logout,SPAサブページ,要（店舗ログイン）,S-134〜S-135,PASS,ログアウト→shop_admin_loginへリダイレクト
店舗管理者,SCR-S17,店舗登録フォーム,/shop_form,Bubbleページ,不要（招待URL）,S-136〜S-138,未テスト,招待メール経由でアクセス。Pay.JP審査連携あり
システム管理者,SCR-A01,管理画面ログイン,/admin_login,Bubbleページ,不要,A-01〜A-07,PASS,メール/パスワード認証。パスワードリセットPopupあり
システム管理者,SCR-A02,顧客一覧,/admin?page=customer_all,SPAサブページ,要（管理者ログイン）,A-08〜A-14,PASS,顧客リスト・CSV・検索・退会処理
システム管理者,SCR-A03,加盟店一覧,/admin?page=shop_all,SPAサブページ,要（管理者ログイン）,A-15〜A-21,PASS,加盟店リスト・追加/詳細/削除はPopup
システム管理者,SCR-A04,料金表管理,/admin?page=price_menu,SPAサブページ,要（管理者ログイン）,A-22〜A-27,PASS,料金表CRUD。結合テストでCRD確認済み
システム管理者,SCR-A05,予約一覧,/admin?page=reservation,SPAサブページ,要（管理者ログイン）,A-28〜A-36,PASS,予約リスト・フィルタ。詳細/キャンセルはPopup
システム管理者,SCR-A06,売上レポート,/admin?page=sales,SPAサブページ,要（管理者ログイン）,A-37〜A-38,PASS,売上データ・CSV
システム管理者,SCR-A07,FV管理,/admin?page=first_view,SPAサブページ,要（管理者ログイン）,A-39〜A-43,PASS,FVリスト・追加/編集はPopup
システム管理者,SCR-A08,お知らせ管理,/admin?page=news,SPAサブページ,要（管理者ログイン）,A-44〜A-47,PASS,お知らせCRUD
システム管理者,SCR-A09,バナー管理,/admin?page=banner,SPAサブページ,要（管理者ログイン）,A-48〜A-52,PASS,バナーCRUD
システム管理者,SCR-A10,Q&A管理,/admin?page=faq,SPAサブページ,要（管理者ログイン）,A-53〜A-57,PASS,Q&A CRUD + カテゴリ管理
システム管理者,SCR-A11,お問い合わせ一覧,/admin?page=contact,SPAサブページ,要（管理者ログイン）,A-58〜A-60,PASS,問い合わせリスト・アーカイブ
システム管理者,SCR-A12,請求管理,/admin?page=invoice,SPAサブページ,要（管理者ログイン）,A-61,未テスト,サイドバーにメニューが存在しない（未実装）
システム管理者,SCR-A13,公開お知らせ,/admin?page=notice,SPAサブページ,要（管理者ログイン）,A-62,未テスト,サイドバーにメニューが存在しない（未実装）
システム管理者,SCR-A14,メールアドレスの変更,/admin?page=mail,SPAサブページ,要（管理者ログイン）,A-63〜A-66,PASS,メールアドレス変更フォーム
システム管理者,SCR-A15,パスワードの変更,/admin?page=pass,SPAサブページ,要（管理者ログイン）,A-67〜A-70,PASS,パスワード変更フォーム
システム管理者,SCR-A16,料金シミュレーション,/admin_price_simulation,Bubbleページ,要（管理者ログイン）,A-76〜A-78,PASS,貸出/返却日時入力→料金計算。サイドバーメニュー非掲載（URL直接アクセスのみ）
システム管理者,SCR-A17,営業カレンダー,/admin_update_calendar,Bubbleページ,要（管理者ログイン）,A-73〜A-75,PASS,カレンダー表示・祝日管理。サイドバーメニュー非掲載（URL直接アクセスのみ）
共通,SCR-C01,404ページ,/404,Bubbleページ,不要,,未テスト,存在しないURLアクセス時に表示
共通,SCR-C02,店舗詳細,/shop_detail,Bubbleページ,不要,,未テスト,店舗個別ページ（検索結果から遷移）
共通,SCR-C03,店舗利用規約,/shop_term,Bubbleページ,不要,,未テスト,店舗ごとの利用規約ページ
